Spanish,English,Example,Conjugation_yo,Conjugation_tú,Category
hablar,to speak,Yo hablo español,hablo,hablas,Communication
trabajar,to work,Ella trabaja en una oficina,trabajo,trabajas,Work
estudiar,to study,Nosotros estudiamos matemáticas,estudio,estudias,Education
bailar,to dance,Ellos bailan salsa,bailo,bailas,Entertainment
cantar,to sing,Tú cantas bien,canto,cantas,Entertainment
caminar,to walk,Él camina al trabajo,camino,caminas,Movement
cocinar,to cook,Mi madre cocina la cena,cocino,cocinas,Daily Life
nadar,to swim,Los niños nadan en la piscina,nado,nadas,Sports
escuchar,to listen,Escucho música,escucho,escuchas,Communication
mirar,to watch,Miramos la televisión,miro,miras,Entertainment
comprar,to buy,Compro pan en la panadería,compro,compras,Shopping
viajar,to travel,Viajan a México,viajo,viajas,Travel
descansar,to rest,Descansas después del trabajo,descanso,descansas,Daily Life
llevar,to carry/wear,Llevo una camisa azul,llevo,llevas,Daily Life
tomar,to take/drink,Tomo café por la mañana,tomo,tomas,Daily Life
buscar,to look for,Busco mis llaves,busco,buscas,Actions
enseñar,to teach,El profesor enseña español,enseño,enseñas,Education
esperar,to wait,Esperamos el autobús,espero,esperas,Actions
ganar,to win/earn,Ganan dinero,gano,ganas,Work
llegar,to arrive,Llego a las ocho,llego,llegas,Movement
necesitar,to need,Necesitas estudiar,necesito,necesitas,Daily Life
pagar,to pay,Pago la cuenta,pago,pagas,Shopping
pasar,to pass/spend time,Pasamos el verano en la playa,paso,pasas,Time
preguntar,to ask,Pregunto la hora,pregunto,preguntas,Communication
preparar,to prepare,Preparan la comida,preparo,preparas,Daily Life
