Question,Answer,Difficulty,QuestionType,Topic
What is evaporation?,The process by which water changes from liquid to gas when heated by the sun,Easy,Definition,Water Cycle
What is condensation?,The process by which water vapor in the air changes into liquid water to form clouds,Easy,Definition,Water Cycle
What are the three main stages of the water cycle?,"Evaporation, condensation, and precipitation",Medium,Recall,Water Cycle Stages
How does solar energy drive the water cycle?,Solar radiation heats water causing evaporation and powers atmospheric circulation,Medium,Explanation,Energy
What is the difference between evaporation and transpiration?,Evaporation is water changing to vapor from bodies of water while transpiration is water released from plants,Medium,Comparison,Processes
Why is the water cycle considered a closed system?,Because the total amount of water on Earth remains constant; it only changes form and location,Hard,Conceptual,System
What is precipitation and what forms can it take?,"Water released from clouds; can be rain, snow, sleet, or hail",Easy,Definition,Precipitation
What is groundwater?,Water stored beneath Earth's surface in soil and rock formations,Easy,Definition,Water Storage
How does infiltration differ from runoff?,Infiltration is water entering the soil while runoff flows over the surface into streams and rivers,Medium,Comparison,Water Movement
What is an aquifer?,An underground layer of water-bearing permeable rock or sediment from which groundwater can be extracted,Medium,Definition,Groundwater
What role does gravity play in the water cycle?,Gravity pulls precipitation down to Earth and drives runoff from high elevations to low elevations,Medium,Explanation,Forces
How do plants contribute to the water cycle?,Plants release water vapor through transpiration from their leaves,Easy,Explanation,Transpiration
What is residence time?,The average time a water molecule spends in a particular reservoir,Hard,Definition,Concepts
Where is most of Earth's freshwater located?,About 69% is locked in ice caps and glaciers,Medium,Recall,Water Distribution
How might climate change affect the water cycle?,Climate change can alter evaporation rates precipitation patterns and the timing of seasonal cycles,Hard,Application,Climate
What is sublimation in the context of the water cycle?,The direct transition of water from solid ice to gas without becoming liquid,Medium,Definition,Phase Changes
Why do clouds form?,Water vapor rises cools and condenses around tiny particles in the atmosphere,Medium,Explanation,Condensation
What happens to precipitation when it reaches Earth's surface?,"It can run off into water bodies, infiltrate into the ground, be absorbed by plants, or evaporate",Hard,Recall,Water Pathways
How does urbanization affect the water cycle?,Urbanization increases runoff decreases infiltration and can alter local precipitation patterns,Hard,Application,Human Impact
What is the water balance equation?,"Precipitation = Evapotranspiration + Runoff + Change in Storage",Hard,Recall,Equations
